unique_id,price_paid,deed_date,postcode,property_type,new_build,estate_type,saon,paon,street,locality,town,district,county,transaction_category,linked_data_uri
38EDC0C2-A24E-0F63-E063-4704A8C00424,260000,6/28/2024,RG1 7YU,F,N,L,FLAT 7,39,BRUNSWICK HILL,,READING,READING,READING,A,http://landregistry.data.gov.uk/data/ppi/transaction/38EDC0C2-A24E-0F63-E063-4704A8C00424/current
34222873-1224-4D2B-E063-4704A8C07853,401000,4/3/2024,RG1 7YU,D,N,L,FLAT 8,39,BRUNSWICK HILL,,READING,READING,READING,B,http://landregistry.data.gov.uk/data/ppi/transaction/34222873-1224-4D2B-E063-4704A8C07853/current
31C68071-BEBB-FEE3-E063-4804A8C04F37,287500,1/26/2024,RG1 7YU,F,N,L,FLAT 9,39,BRUNSWICK HILL,,READING,READING,READING,A,http://landregistry.data.gov.uk/data/ppi/transaction/31C68071-BEBB-FEE3-E063-4804A8C04F37/current
38EDC0C3-93A9-0F63-E063-4704A8C00424,420000,9/18/2024,RG1 7YW,T,N,F,,7,LORNE STREET,,READING,READING,READING,B,http://landregistry.data.gov.uk/data/ppi/transaction/38EDC0C3-93A9-0F63-E063-4704A8C00424/current
2859C1AB-82E4-52B4-E063-4804A8C05948,321000,5/3/2024,RG1 7YW,T,N,F,,13,LORNE STREET,,READING,READING,READING,A,http://landregistry.data.gov.uk/data/ppi/transaction/2859C1AB-82E4-52B4-E063-4804A8C05948/current
1EAE3DF7-49FB-9EB1-E063-4704A8C09D02,100000,6/17/2024,RG1 7YW,F,N,L,FLAT 4,25,LORNE STREET,,READING,READING,READING,B,http://landregistry.data.gov.uk/data/ppi/transaction/1EAE3DF7-49FB-9EB1-E063-4704A8C09D02/current
2131FCF5-B5A3-86E8-E063-4804A8C0372B,335000,8/9/2024,RG1 8AB,F,N,L,26,LUSCINIA VIEW,NAPIER ROAD,,READING,READING,READING,A,http://landregistry.data.gov.uk/data/ppi/transaction/2131FCF5-B5A3-86E8-E063-4804A8C0372B/current
25E9DA81-C40E-555E-E063-4704A8C066F2,262000,3/15/2024,RG1 8AB,F,N,L,45,LUSCINIA VIEW,NAPIER ROAD,,READING,READING,READING,B,http://landregistry.data.gov.uk/data/ppi/transaction/25E9DA81-C40E-555E-E063-4704A8C066F2/current
1EAE3DF6-310B-9EB1-E063-4704A8C09D02,285000,2/16/2024,RG1 8AB,F,N,L,51,LUSCINIA VIEW,NAPIER ROAD,,READING,READING,READING,A,http://landregistry.data.gov.uk/data/ppi/transaction/1EAE3DF6-310B-9EB1-E063-4704A8C09D02/current
1775CCF6-E5CA-38BA-E063-4704A8C05A7C,300000,4/2/2024,RG1 8AE,F,N,L,63,LUSCINIA VIEW,NAPIER ROAD,,READING,READING,READING,A,http://landregistry.data.gov.uk/data/ppi/transaction/1775CCF6-E5CA-38BA-E063-4704A8C05A7C/current
25E9DA81-C410-555E-E063-4704A8C066F2,556000,1/31/2024,RG1 8AE,O,N,L,97,LUSCINIA VIEW,NAPIER ROAD,,READING,READING,READING,B,http://landregistry.data.gov.uk/data/ppi/transaction/25E9DA81-C410-555E-E063-4704A8C066F2/current
237B17FD-A387-22AC-E063-4804A8C0EA3A,325000,4/18/2024,RG1 8AF,F,N,L,129,LUSCINIA VIEW,NAPIER ROAD,,READING,READING,READING,A,http://landregistry.data.gov.uk/data/ppi/transaction/237B17FD-A387-22AC-E063-4804A8C0EA3A/current
1EAE3DF6-310E-9EB1-E063-4704A8C09D02,245000,6/24/2024,RG1 8AG,F,N,L,178,LUSCINIA VIEW,NAPIER ROAD,,READING,READING,READING,A,http://landregistry.data.gov.uk/data/ppi/transaction/1EAE3DF6-310E-9EB1-E063-4704A8C09D02/current
36A61A95-3B57-DEF2-E063-4704A8C046AE,254000,8/30/2024,RG1 8AG,F,N,L,184,LUSCINIA VIEW,NAPIER ROAD,,READING,READING,READING,B,http://landregistry.data.gov.uk/data/ppi/transaction/36A61A95-3B57-DEF2-E063-4704A8C046AE/current
2D4D7609-C800-BDF9-E063-4804A8C0672F,485000,10/29/2024,RG1 8AH,T,N,F,,16,NORTHFIELD ROAD,,READING,READING,READING,B,http://landregistry.data.gov.uk/data/ppi/transaction/2D4D7609-C800-BDF9-E063-4804A8C0672F/current
1EAE3DF6-3109-9EB1-E063-4704A8C09D02,285000,6/7/2024,RG1 8AQ,F,N,L,231,LUSCINIA VIEW,NAPIER ROAD,,READING,READING,READING,A,http://landregistry.data.gov.uk/data/ppi/transaction/1EAE3DF6-3109-9EB1-E063-4704A8C09D02/current
38EDC0C3-9386-0F63-E063-4704A8C00424,725000,9/23/2024,RG1 8AZ,T,N,F,,154,CAVERSHAM ROAD,,READING,READING,READING,B,http://landregistry.data.gov.uk/data/ppi/transaction/38EDC0C3-9386-0F63-E063-4704A8C00424/current
2859C1AC-D95E-52B4-E063-4804A8C05948,725000,5/29/2024,RG1 8AZ,T,N,F,,156,CAVERSHAM ROAD,,READING,READING,READING,B,http://landregistry.data.gov.uk/data/ppi/transaction/2859C1AC-D95E-52B4-E063-4804A8C05948/current
2859C1AB-830D-52B4-E063-4804A8C05948,277500,8/22/2024,RG1 8BQ,F,N,L,,19,KINGFISHER PLACE,,READING,READING,READING,A,http://landregistry.data.gov.uk/data/ppi/transaction/2859C1AB-830D-52B4-E063-4804A8C05948/current
2F7F2B43-C19E-E08F-E063-4804A8C05A49,4000000,3/27/2024,RG1 8BT,O,N,F,,SOVEREIGN HOUSE,VASTERN ROAD,,READING,READING,READING,B,http://landregistry.data.gov.uk/data/ppi/transaction/2F7F2B43-C19E-E08F-E063-4804A8C05A49/current
1061746D-ABA4-3C34-E063-4804A8C0F9E7,224500,1/19/2024,RG1 8BY,F,N,L,FLAT 19,CAVERSHAM PLACE,RICHFIELD AVENUE,,READING,READING,READING,A,http://landregistry.data.gov.uk/data/ppi/transaction/1061746D-ABA4-3C34-E063-4804A8C0F9E7/current
36A61A94-4AEA-DEF2-E063-4704A8C046AE,215000,11/8/2024,RG1 8BY,F,N,L,FLAT 21,CAVERSHAM PLACE,RICHFIELD AVENUE,,READING,READING,READING,A,http://landregistry.data.gov.uk/data/ppi/transaction/36A61A94-4AEA-DEF2-E063-4704A8C046AE/current
34222871-F8C4-4D2B-E063-4704A8C07853,204245,11/26/2024,RG1 8BY,F,N,L,FLAT 23,CAVERSHAM PLACE,RICHFIELD AVENUE,,READING,READING,READING,A,http://landregistry.data.gov.uk/data/ppi/transaction/34222871-F8C4-4D2B-E063-4704A8C07853/current
2ACACE8C-9230-295E-E063-4804A8C0B0EB,255000,11/26/2024,RG1 8BY,F,N,L,FLAT 28,CAVERSHAM PLACE,RICHFIELD AVENUE,,READING,READING,READING,A,http://landregistry.data.gov.uk/data/ppi/transaction/2ACACE8C-9230-295E-E063-4804A8C0B0EB/current
12A8BAB5-E4D1-2125-E063-4804A8C08CC1,534000,1/26/2024,RG1 8DD,S,N,F,,10,LYNMOUTH ROAD,,READING,READING,READING,A,http://landregistry.data.gov.uk/data/ppi/transaction/12A8BAB5-E4D1-2125-E063-4804A8C08CC1/current
38EDC0C3-93F9-0F63-E063-4704A8C00424,225000,6/20/2024,RG1 8DL,O,N,F,FLAT 1,HALLSMEAD COURT,DE MONTFORT ROAD,,READING,READING,READING,B,http://landregistry.data.gov.uk/data/ppi/transaction/38EDC0C3-93F9-0F63-E063-4704A8C00424/current
1A0C5C63-0F57-7CBE-E063-4804A8C06C96,494000,4/12/2024,RG1 8DL,T,N,F,,6,DE MONTFORT ROAD,,READING,READING,READING,A,http://landregistry.data.gov.uk/data/ppi/transaction/1A0C5C63-0F57-7CBE-E063-4804A8C06C96/current
1061746D-ADC3-3C34-E063-4804A8C0F9E7,545000,1/16/2024,RG1 8DL,T,N,F,,16,DE MONTFORT ROAD,,READING,READING,READING,A,http://landregistry.data.gov.uk/data/ppi/transaction/1061746D-ADC3-3C34-E063-4804A8C0F9E7/current
2131FCF5-B6AC-86E8-E063-4804A8C0372B,490000,4/11/2024,RG1 8DS,F,N,L,,19,CAVERSHAM WHARF,,READING,READING,READING,A,http://landregistry.data.gov.uk/data/ppi/transaction/2131FCF5-B6AC-86E8-E063-4804A8C0372B/current
2859C1AB-83F5-52B4-E063-4804A8C05948,346500,4/9/2024,RG1 8DT,S,N,F,,5,THAMES AVENUE,,READING,READING,READING,A,http://landregistry.data.gov.uk/data/ppi/transaction/2859C1AB-83F5-52B4-E063-4804A8C05948/current
