Postcode,Latitude,Longitude,Easting,Northing,Grid Ref,Postcodes,Active postcodes,Population,Households,Built up area,Nearby Sectors
RG4 5,51.4664,-0.961693,472223,174670,SU722746,186,113,6716,2773,Caversham,"RG1 3, RG1 4, RG4 8, RG1 1, RG1 8, RG1 5, RG1 2, RG6 9, RG4 0, RG4 6"
RG4 6,51.4734,-0.942685,473532,175467,SU735754,247,180,7339,2786,Caversham,"RG4 0, RG6 9, RG4 5, RG4 8, RG6 1, RG6 6, RG1 3, RG1 5, RG1 4, RG6 5"
RG4 7,51.4747,-0.987635,470408,175568,SU704755,349,237,9681,3731,Caversham,"RG30 9, RG4 8, RG1 8, RG30 1, RG1 7, RG3 1, RG1 6, RG1 1, RG30 2, RG4 5"
RG4 8,51.4744,-0.968597,471730,175553,SU717755,371,255,9900,4332,Caversham,"RG4 5, RG4 7, RG1 1, RG1 8, RG4 0, RG1 2, RG1 4, RG4 6, RG1 3, RG1 7"
RG4 9,51.5058,-0.981046,470817,179033,SU708790,262,213,5528,2216,Sonning Common,"RG4 7, RG4 8, RG1 8, RG9 5, RG1 7, RG30 9, RG1 1, RG1 6, RG4 5, RG30 1"
RG5 3,51.4506,-0.915624,475449,172959,SU754729,282,210,11290,4543,Woodley,"RG6 3, RG5 4, RG6 7, RG6 1, RG6 2, RG6 6, RG6 9, RG6 5, RG6 4, RG1 5"
RG5 4,51.4545,-0.900827,476470,173408,SU764734,393,292,14154,5517,Woodley,"RG5 3, RG6 3, RG6 1, RG6 7, RG6 2, RG6 9, RG6 6, RG10 9, RG6 5, RG10 0"
RG6 1,51.4529,-0.935295,474078,173195,SU740731,263,154,8650,2802,Reading,"RG6 9, RG6 6, RG6 5, RG6 7, RG6 4, RG5 3, RG1 5, RG6 2, RG1 3, RG4 6"
RG6 2,51.435,-0.927437,474653,171212,SU746712,328,0,,,Reading,"RG6 7, RG6 5, RG6 4, RG6 3, RG6 1, RG6 6, RG5 3, RG2 7, RG2 9, RG6 9"
RG6 3,51.4335,-0.91446,475558,171058,SU755710,154,94,5837,2220,Reading,"RG6 2, RG5 3, RG6 7, RG6 4, RG6 5, RG5 4, RG6 1, RG6 6, RG2 9, RG2 7"
RG6 4,51.4318,-0.936036,474061,170848,SU740708,216,126,7611,3170,Reading,"RG6 5, RG6 2, RG6 7, RG6 1, RG6 6, RG6 3, RG2 7, RG2 8, RG6 9, RG1 5"
RG6 5,51.4357,-0.937944,473922,171279,SU739712,189,127,6603,2480,Reading,"RG6 4, RG6 2, RG6 6, RG6 7, RG6 1, RG2 7, RG6 3, RG6 9, RG1 5, RG2 8"
