URN,LANAME,LA,ESTAB,LAESTAB,SCHNAME,STREET,LOCALITY,ADDRESS3,TOWN,POSTCODE,SCHSTATUS,OPENDATE,CLOSEDATE,MINORGROUP,SCHOOLTYPE,ISPRIMARY,ISSECONDARY,ISPOST16,AGELOW,AGEHIGH,GENDER,RELCHAR,ADMPOL
137999,Reading,870,6011,8706011,Red Balloon Learner Centre Reading,220-222 Kings Road,,,Reading,RG1 4JJ,Open,,,Independent school,Other independent school,0,1,1,11,17,Mixed,None,Not applicable
138372,Reading,870,2004,8702004,Meadow Park Academy,Norcot Road,Tilehurst,,Reading,RG30 6BS,Open,,,Academy,Academy sponsor led,1,0,0,4,11,Mixed,None,Not applicable
138968,Reading,870,6013,8706013,Trinity Christian School,62 London Road,,,Reading,RG1 5AS,Open,,,Independent school,Other independent school,1,0,0,3,11,Mixed,Christian,Not applicable
139066,Reading,870,2011,8702011,Battle Primary Academy,Cranbury Road,,,Reading,RG30 2TD,Open,,,Academy,Academy sponsor led,1,0,0,3,11,Mixed,Does not apply,Not applicable
139268,Reading,870,4000,8704000,UTC Reading,Crescent Road,East Reading,,Reading,RG1 5RQ,Open,,,Academy,University technical college,0,1,1,14,19,Mixed,None,Non-selective
139653,Reading,870,2012,8702012,The Palmer Primary Academy,70 Northumberland Avenue,,,Reading,RG2 7PP,Open,,,Academy,Academy sponsor led,1,0,0,3,11,Mixed,Does not apply,Not applicable
139728,Reading,870,7000,8707000,Thames Valley School,2 Conwy Close,Tilehurst,,Reading,RG30 4BZ,Open,,,Special school,Free schools special,1,1,0,4,16,Mixed,Does not apply,Not applicable
139972,Reading,870,2017,8702017,The Heights Primary School,129 Upper Woodcote Road,,,Reading,RG4 7LB,Open,,,Academy,Free schools,1,0,0,4,11,Mixed,None
140379,Reading,870,2015,8702015,Civitas Academy,90a Great Knollys Street,,,Reading,RG1 7HL,Open,,,Academy,Academy sponsor led,1,0,0,4,11,Mixed,Does not apply
141886,Reading,870,4001,8704001,Maiden Erlegh School in Reading,81 Crescent Road,,,Reading,RG1 5SL,Open,,,Academy,Free schools,0,1,0,11,16,Mixed,None,Non-selective
142072,Reading,870,2025,8702025,Ranikhet Academy,Spey Road,Tilehurst,,Reading,RG30 4ED,Open,,,Academy,Academy sponsor led,1,0,0,3,11,Mixed,Does not apply,Not applicable
142121,Reading,870,4002,8704002,The WREN School,61-63 Bath Road,,,Reading,RG30 2BB,Open,,,Academy,Free schools,0,1,1,11,19,Mixed,None
142682,Reading,870,2028,8702028,New Town Primary School,School Terrace,,,Reading,RG1 3LS,Open,,,Academy,Academy sponsor led,1,0,0,3,11,Mixed,Does not apply,Not applicable
142735,Reading,870,3300,8703300,St John's Church of England Primary School,121-147 Orts Road,Reading,121-147 Orts Road,Reading,RG1 3JN,Open,,,Academy,Academy converter,1,0,0,3,11,Mixed,Church of England,Not applicable
144610,Reading,870,4003,8704003,Reading Girls' School,Northumberland Avenue,,,Reading,RG2 7PY,Open,,,Academy,Academy sponsor led,0,1,1,11,18,Girls,None,Non-selective
145660,Reading,870,2254,8702254,New Christ Church Church of England Primary School,Milman Road,,,Reading,RG2 0AY,Open,,,Academy,Academy converter,1,0,0,4,11,Mixed,Church of England,Not applicable
146275,Reading,870,2035,8702035,St Mary & All Saints Church of England Primary School,Wensley Road,Coley Park,,Reading,RG1 6DU,Open,,,Academy,Academy sponsor led,1,0,0,3,11,Mixed,Church of England,Not applicable
147675,Reading,870,7002,8707002,Hamilton School,135 Bulmershe Road,,,Reading,RG1 5SG,Open,,,Special school,Academy special sponsor led,0,1,1,11,18,Mixed,Does not apply,Non-selective
147868,Reading,870,2039,8702039,Green Park Village Primary Academy,2 Flagstaff Road,Green Park,,Reading,RG2 6AX,Open,,,Academy,Free schools,1,0,0,2,11,Mixed,None,Non-selective
150728,Reading,870,4004,8704004,River Academy,7 Richfield Avenue,,,Reading,RG1 8EQ,Open,01-09-2024,,Academy,Free schools,0,1,1,11,18,Mixed,None,Non-selective
150898,Reading,870,6018,8706018,Groveside School,40 Christchurch Road,,,Reading,RG2 7AY,Open,11-09-2024,,Special school,Other independent special school,1,1,0,7,16,Mixed,None,Not applicable
151631,Reading,870,4005,8704005,Hartland High School,125 Hartland Road,,,Reading,RG2 8AF,Open,01-01-2025,,Academy,Academy sponsor led,0,1,1,11,18,Mixed,Does not apply
