stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
035081060003,,"Wilderness Court",,51.43724697,-0.934379566,,,0,,,0
035084120002,,"Ramsbury Drive",,51.438523997,-0.932421949,,,0,,,0
035084240002,,"Gipsy Lane",,51.433600466,-0.911346374,,,0,,,0
035084220002,,"Hillside Road",,51.434931348,-0.914263926,,,0,,,0
035084200002,,"Kenton Road",,51.435286403,-0.918628964,,,0,,,0
035084180002,,Lakeside,,51.435055363,-0.921856946,,,0,,,0
035084160002,,"Silverdale Road Shops",,51.436456398,-0.926571586,,,0,,,0
035084140002,,"Kennedy Gardens",,51.436750234,-0.930190176,,,0,,,0
035084000002,,"Earley Crossroads",,51.441112671,-0.931325657,,,0,,,0
035085980001,,"St Peters Church",,51.444008104,-0.929358727,,,0,,,0
035085960001,,"Anderson Avenue",,51.446420674,-0.927690654,,,0,,,0
035085940001,,"Palmerstone Road",,51.449724245,-0.927095209,,,0,,,0
035086520001,,"Headley Park",,51.453873638,-0.892715713,,,0,,,0
035093520002,,"Comet Way - Rose Close",,51.45359329,-0.883065365,,,0,,,0
035093500002,,"Victor Way",,51.452632492,-0.886988998,,,0,,,0
035086220002,,"Austin Road",,51.449732029,-0.893103703,,,0,,,0
035086200004,,"Chapel Hall",,51.449865026,-0.897676814,,,0,,,0
035086160002,,"Colemans Moor Lane Top",,51.44851107,-0.898083567,,,0,,,0
035085240003,,"Drovers Way Top",,51.447074678,-0.903125884,,,0,,,0
035085800001,,"Hearn Road",,51.443688849,-0.903566713,,,0,,,0
035086060001,,"Coppice Road Parade",,51.440710607,-0.902400642,,,0,,,0
035086080001,,"Coppice Road",,51.44026457,-0.898943837,,,0,,,0
035084400001,,"Skelmerdale Way Footpath",,51.437518172,-0.907181719,,,0,,,0
035084420001,,"Mill Lane - Gipsy Lane",,51.43481677,-0.906771422,,,0,,,0
035093100001,,"Eastcourt Avenue",,51.449419089,-0.930110035,,,0,,,0
035093120001,,"Culver Lane (Hail & Ride)",,51.452106303,-0.929960885,,,0,,,0
039028150004,,"Reading Station",,51.457987385,-0.971204601,,,0,,,0
039026610001,,"Kendrick Student Village",,51.45025857,-0.964528163,,,0,,,0
039028220001,,"Crown Place Passage",,51.448878896,-0.964084476,,,0,,,0
039026750002,,"Morgan Road",,51.447057307,-0.963492528,,,0,,,0
039027640002,,"Vicarage Road",,51.443926057,-0.96021076,,,0,,,0
039027900002,,"UoR Whiteknights House",,51.440848859,-0.947892498,,,0,,,0
039026930002,,"Pepper Lane University",,51.437103724,-0.945388882,,,0,,,0
035081020001,,"Harcourt Drive",,51.435128961,-0.941780232,,,0,,,0
035082020001,,"Wychwood Crescent",,51.433248925,-0.939708964,,,0,,,0
035082040001,,Brerewood,,51.430397406,-0.938595404,,,0,,,0
035082060001,,"Chalfont Way Circle",,51.427304299,-0.935632067,,,0,,,0
035082080001,,"Rosemary Avenue",,51.424453011,-0.940502195,,,0,,,0
035082100001,,"Ryhill Way",,51.422191594,-0.938023206,,,0,,,0
035082120001,,"Chatton Close (Asda)",,51.424888091,-0.929992491,,,0,,,0
035082140001,,"Faygate Way",,51.426775581,-0.927934701,,,0,,,0
035082160001,,"Beech Lane",,51.428311396,-0.924791788,,,0,,,0
035082180001,,Marefield,,51.43060973,-0.917559792,,,0,,,0
035082340002,,"Chilcombe Way",,51.430075441,-0.914235159,,,0,,,0
035082320002,,"Felixstowe Close",,51.427993676,-0.911796047,,,0,,,0
035082300002,,"Kitwood Drive",,51.42810505,-0.906370591,,,0,,,0
035082280002,,"Easington Drive",,51.429602438,-0.903026394,,,0,,,0
035084280001,,"Hawkedon Way",,51.431660625,-0.907738623,,,0,,,0
035082200002,,"Sellafield Way",,51.43146249,-0.913511799,,,0,,,0
035082180002,,Marefield,,51.430094019,-0.918190519,,,0,,,0
035082160002,,"Beech Lane",,51.428175887,-0.924723047,,,0,,,0
035082140002,,"Faygate Way",,51.426026073,-0.928570725,,,0,,,0
035082120002,,"Chatton Close (Asda)",,51.424084894,-0.930658473,,,0,,,0
035082100002,,"Ryhill Way",,51.422201488,-0.939116026,,,0,,,0
035082080002,,"Rosemary Avenue",,51.425525056,-0.939729478,,,0,,,0
035082060002,,"Chalfont Way Circle",,51.427800839,-0.935850677,,,0,,,0
035082040002,,Brerewood,,51.430545542,-0.939066672,,,0,,,0
035082020002,,"Wychwood Crescent",,51.432981695,-0.939988475,,,0,,,0
035081020002,,"Harcourt Drive",,51.434628536,-0.94113003,,,0,,,0
039026930001,,"Pepper Lane University",,51.436657777,-0.944794906,,,0,,,0
039027900001,,"UoR Chancellor's Way",,51.440261322,-0.94855345,,,0,,,0
039025570001,,"Christchurch Green",,51.443026712,-0.956144775,,,0,,,0
039027640001,,"Vicarage Road",,51.444006265,-0.961144227,,,0,,,0
039026750001,,"Morgan Road",,51.447328917,-0.963702231,,,0,,,0
039028220002,,"Crown Place Passage",,51.448916127,-0.96422754,,,0,,,0
039026610002,,"Kendrick Student Village",,51.450097257,-0.964589375,,,0,,,0
039026100003,,"Friar Street",,51.456688985,-0.974904007,,,0,,,0
039028160001,,"Forbury Road",,51.457975511,-0.969851885,,,0,,,0
039028320001,,"Station North Interchange",,51.460470287,-0.971335913,,,0,,,0
039025290002,,"Bridge Street Caversham",,51.466490054,-0.976959032,,,0,,,0
039025600001,,"Church Street",,51.467763071,-0.975490917,,,0,,,0
039025460001,,"Caversham Library",,51.468427137,-0.974309913,,,0,,,0
039026980001,,"Priest Hill",,51.470245569,-0.977638112,,,0,,,0
039027510001,,"The Mount",,51.471009691,-0.980716505,,,0,,,0
039026320001,,"Highmoor Road, Albert Road",,51.474066336,-0.982721781,,,0,,,0
039027270002,,"St Andrew's Church",,51.47632557,-0.985061803,,,0,,,0
039027100001,,"Richmond Road",,51.478522448,-0.987475434,,,0,,,0
039027600002,,"Uplands Road",,51.480989535,-0.988904083,,,0,,,0
039028480001,,"Caversham Rose",,51.480116396,-0.98463207,,,0,,,0
039027100004,,"Richmond Road",,51.477206619,-0.988166939,,,0,,,0
039027340002,,"St Peters Avenue",,51.477278025,-0.992283615,,,0,,,0
039026220002,,"Gurney Close",,51.477922798,-0.995120548,,,0,,,0
039025230002,,"Blagrave Lane",,51.479759006,-0.997441848,,,0,,,0
039026350001,,"Hilltop Road",,51.482002088,-0.994771697,,,0,,,0
039026040001,,"Fernbrook Road",,51.479611933,-0.993917017,,,0,,,0
039027340001,,"St Peter's Avenue",,51.477160615,-0.991177443,,,0,,,0
039026250001,,"Harrogate Road",,51.474821708,-0.988968427,,,0,,,0
